,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
440,603689,皖天然气,21.55亿,9196万,8.61
441,603519,立霸股份,8.63亿,7254万,10.86
442,300482,万孚生物,5.47亿,1.45亿,18.79
443,603958,哈森股份,16.82亿,8049万,8.89
444,002797,第一创业,20.28亿,5.62亿,7.39
445,603616,韩建河山,6.96亿,1312万,1.56
446,600936,广西广电,27.95亿,3.01亿,11.53
447,603998,方盛制药,5.34亿,6976万,7.73
448,603520,司太立,6.73亿,7612万,10.80
449,603015,弘讯科技,5.31亿,5318万,4.87
450,601021,春秋航空,84.29亿,9.51亿,13.74
451,603861,白云电器,13.64亿,1.62亿,9.36
452,603009,北特科技,8.01亿,5577万,6.16
453,002711,欧浦智网,30.88亿,2.22亿,15.48
454,603555,贵人鸟,22.79亿,2.93亿,12.34
455,002699,美盛文化,6.33亿,1.90亿,11.07
456,002665,首航节能,8.95亿,1.55亿,5.50
457,002650,加加食品,18.87亿,1.50亿,7.90
458,601928,凤凰传媒,105亿,11.70亿,10.47
459,002552,*ST宝鼎,1.80亿,-1.67亿,-23.09
460,002087,新野纺织,40.85亿,2.07亿,8.34
461,002190,成飞集成,22.45亿,1.42亿,8.05
462,000909,数源科技,15.75亿,2144万,2.86
463,600302,标准股份,5.71亿,5895万,4.97
464,600291,西水股份,306亿,3600万,0.34
465,600257,大湖股份,9.26亿,606万,0.81
466,600234,ST山水,2063万,1427万,26.45
467,002072,凯瑞德,3363万,1436万,16.19
468,600984,建设机械,13.76亿,8220万,2.61
469,300331,苏大维格,4.16亿,3164万,6.33
470,300323,华灿光电,15.82亿,2.67亿,9.83
471,601616,广电电气,6.87亿,-1.12亿,-4.51
472,002513,蓝丰生化,14.57亿,1.07亿,4.36
473,002501,利源精制,25.58亿,5.50亿,12.92
474,002577,雷柏科技,5.74亿,1794万,1.55
475,002654,万润科技,15.70亿,1.43亿,7.62
476,002618,丹邦科技,2.71亿,2459万,1.48
477,002573,清新环境,33.94亿,7.44亿,23.26
478,002366,台海核电,12.10亿,3.92亿,24.61
479,300043,星辉娱乐,23.93亿,4.58亿,19.72
480,601519,大智慧,11.31亿,-17.60亿,-99.93
481,002637,赞宇科技,43.61亿,1.52亿,9.80
482,300013,新宁物流,7.59亿,6098万,5.08
483,300071,华谊嘉信,34.53亿,1.31亿,11.55
484,002656,摩登大道,7.54亿,-2.87亿,-20.59
485,300111,向日葵,16.03亿,3064万,2.39
486,300022,吉峰农机,35.66亿,1176万,4.81
487,002375,亚厦股份,89.37亿,3.19亿,4.52
488,601117,中国化学,531亿,17.70亿,6.59
489,002340,格林美,78.36亿,2.64亿,3.95
490,601989,中国重工,521亿,6.98亿,1.23
491,002642,荣之联,15.96亿,2.40亿,6.51
492,002356,赫美集团,21.27亿,1.39亿,8.66
493,300012,华测检测,16.52亿,1.02亿,6.02
494,002604,*ST龙力,8.80亿,1.17亿,5.87
495,002292,奥飞娱乐,33.61亿,4.98亿,11.74
496,300002,神州泰岳,29.37亿,5.07亿,10.18
497,002599,盛通股份,8.43亿,3650万,5.49
498,002269,美邦服饰,65.19亿,3616万,1.00
499,002239,奥特佳,52.29亿,4.46亿,10.55
500,002260,*ST德奥,7.17亿,514万,1.54
501,002210,飞马国际,522亿,15.32亿,38.71
502,002259,升达林业,15.55亿,7138万,5.40
503,002212,南洋股份,28.71亿,7028万,3.80
504,002204,大连重工,64.33亿,2728万,0.42
505,002215,诺普信,19.63亿,-2.76亿,-16.38
506,002188,*ST巴士,6.58亿,9360万,4.58
507,002304,洋河股份,172亿,58.27亿,24.01
508,002397,梦洁股份,14.47亿,9727万,6.87
509,002175,东方网络,5.75亿,6117万,4.69
510,002150,通润装备,10.36亿,9933万,14.56
511,002123,梦网集团,28.00亿,2.56亿,5.12
512,002133,广宇集团,41.97亿,1.51亿,5.46
513,002104,恒宝股份,13.53亿,1.46亿,9.17
514,002107,沃华医药,5.63亿,4881万,10.18
515,002130,沃尔核材,18.63亿,1.07亿,5.71
516,002131,利欧股份,72.89亿,5.63亿,8.98
517,002081,金螳螂,196亿,16.83亿,18.11
518,002094,青岛金王,23.71亿,1.85亿,14.41
519,002093,国脉科技,12.31亿,7731万,5.51
520,002234,民和股份,14.09亿,1.54亿,16.13
521,002071,长城影视,13.56亿,2.56亿,54.28
522,002263,*ST东南,9.51亿,-1.86亿,-6.53
523,601001,大同煤业,73.91亿,1.86亿,3.74
524,601699,潞安环能,142亿,8.57亿,4.75
525,002054,德美化工,24.12亿,1.48亿,7.67
526,002261,拓维信息,10.28亿,2.12亿,5.78
527,002203,海亮股份,180亿,5.51亿,13.61
528,601199,江南水务,11.07亿,3.26亿,13.65
529,002167,东方锆业,8.27亿,2544万,2.41
